Model,Accuracy,Precision,Recall,F1-score,Runtime
DecisionTree,0.8702055348761936,0.8712591096483349,0.8702055348761936,0.8683356296283201,0 days 00:00:01
K-NearestNeighbors,0.8127798457139774,0.8084389790297377,0.8127798457139774,0.807574992026773,0 days 00:00:03
XGBoost,0.7923342504180828,0.7866994030781124,0.7923342504180828,0.786466959890352,0 days 00:00:01
LightGBM,0.7519825214435993,0.7455619509993893,0.7519825214435993,0.744524275471971,0 days 00:00:01
GradientBoost,0.6846846846846847,0.6800454497928078,0.6846846846846847,0.6805006078640176,0 days 00:00:57
AdaBoost,0.6485947024869181,0.6413421730606373,0.6485947024869181,0.6435118542683459,0 days 00:00:05
NaiveBayes,0.5664346981712252,0.5556014689080909,0.5664346981712252,0.5585680135781701,0 days 00:00:00
